service_id,date,exception_type
1000-15-1230102024-LBO#PGA,20241017,2
1000-15-1230102024-LBO#PGA,20241022,2
1000-15-1230102024-LBO#PGA,20241023,2
1000-15-1230102024-LBO#PGA,20241024,2
1000-29-1930102024-LBO#PGA,20241008,2
1000-29-1930102024-LBO#PGA,20241009,2
1000-29-1930102024-LBO#PGA,20241010,2
1000-29-1930102024-LBO#PGA,20241015,2
1000-29-1930102024-LBO#PGA,20241016,2
1000-29-1930102024-LBO#PGA,20241017,2
1000-29-1930102024-LBO#PGA,20241022,2
1000-29-1930102024-LBO#PGA,20241023,2
1000-29-1930102024-LBO#PGA,20241024,2
1000-32-0530102024-PGA#LBO,20241008,2
1000-32-0530102024-PGA#LBO,20241009,2
1000-32-0530102024-PGA#LBO,20241010,2
1000-32-0530102024-PGA#LBO,20241015,2
1000-32-0530102024-PGA#LBO,20241016,2
1000-32-0530102024-PGA#LBO,20241017,2
1000-32-0530102024-PGA#LBO,20241022,2
1000-32-0530102024-PGA#LBO,20241023,2
1000-32-0530102024-PGA#LBO,20241024,2
1000-40-0930102024-PGA#LBO,20241008,2
1000-40-0930102024-PGA#LBO,20241009,2
1000-40-0930102024-PGA#LBO,20241010,2
1000-40-0930102024-PGA#LBO,20241015,2
1000-40-0930102024-PGA#LBO,20241016,2
1000-40-0930102024-PGA#LBO,20241017,2
1000-40-0930102024-PGA#LBO,20241022,2
1000-40-0930102024-PGA#LBO,20241023,2
1000-40-0930102024-PGA#LBO,20241024,2
1000-42-1030102024-PGA#LBO,20241008,2
1000-42-1030102024-PGA#LBO,20241009,2
1000-42-1030102024-PGA#LBO,20241010,2
1000-42-1030102024-PGA#LBO,20241015,2
1000-42-1030102024-PGA#LBO,20241016,2
1000-42-1030102024-PGA#LBO,20241017,2
1000-42-1030102024-PGA#LBO,20241022,2
1000-42-1030102024-PGA#LBO,20241023,2
1000-42-1030102024-PGA#LBO,20241024,2
1000-46-1230102024-PGA#LBO,20241008,2
1000-46-1230102024-PGA#LBO,20241009,2
1000-46-1230102024-PGA#LBO,20241010,2
1000-46-1230102024-PGA#LBO,20241015,2
1000-46-1230102024-PGA#LBO,20241016,2
1000-46-1230102024-PGA#LBO,20241017,2
1000-46-1230102024-PGA#LBO,20241022,2
1000-46-1230102024-PGA#LBO,20241023,2
1000-46-1230102024-PGA#LBO,20241024,2
1000-60-1930102024-PGA#LBO,20241008,2
1000-60-1930102024-PGA#LBO,20241009,2
1000-60-1930102024-PGA#LBO,20241010,2
1000-60-1930102024-PGA#LBO,20241015,2
1000-60-1930102024-PGA#LBO,20241016,2
1000-60-1930102024-PGA#LBO,20241017,2
1000-60-1930102024-PGA#LBO,20241022,2
1000-60-1930102024-PGA#LBO,20241023,2
1000-60-1930102024-PGA#LBO,20241024,2
1000-9-0930102024-LBO#PGA,20241008,2
1000-9-0930102024-LBO#PGA,20241009,2
1000-9-0930102024-LBO#PGA,20241010,2
1000-9-0930102024-LBO#PGA,20241015,2
1000-9-0930102024-LBO#PGA,20241016,2
1000-9-0930102024-LBO#PGA,20241017,2
1000-9-0930102024-LBO#PGA,20241022,2
1000-9-0930102024-LBO#PGA,20241023,2
1000-9-0930102024-LBO#PGA,20241024,2
1001-10-1425102024-BRR#LBO,20241008,2
1001-10-1425102024-BRR#LBO,20241009,2
1001-10-1425102024-BRR#LBO,20241015,2
1001-10-1425102024-BRR#LBO,20241016,2
1001-10-1425102024-BRR#LBO,20241022,2
1001-10-1425102024-BRR#LBO,20241023,2
1001-1-1845102024-LBO#BRR,20241008,2
1001-1-1845102024-LBO#BRR,20241009,2
1001-1-1845102024-LBO#BRR,20241015,2
1001-1-1845102024-LBO#BRR,20241016,2
1001-1-1845102024-LBO#BRR,20241022,2
1001-1-1845102024-LBO#BRR,20241023,2
1001-4-1225102024-BRR#LBO,20241008,2
1001-4-1225102024-BRR#LBO,20241009,2
1001-4-1225102024-BRR#LBO,20241015,2
1001-4-1225102024-BRR#LBO,20241016,2
1001-4-1225102024-BRR#LBO,20241022,2
1001-4-1225102024-BRR#LBO,20241023,2
1001-9-0845102024-LBO#BRR,20241008,2
1001-9-0845102024-LBO#BRR,20241009,2
1001-9-0845102024-LBO#BRR,20241015,2
1001-9-0845102024-LBO#BRR,20241016,2
1001-9-0845102024-LBO#BRR,20241022,2
1001-9-0845102024-LBO#BRR,20241023,2
1002-5-0755102024-VSE#BRR,20241008,2
1002-5-0755102024-VSE#BRR,20241009,2
1002-5-0755102024-VSE#BRR,20241015,2
1002-5-0755102024-VSE#BRR,20241016,2
1002-5-0755102024-VSE#BRR,20241022,2
1002-5-0755102024-VSE#BRR,20241023,2
1002-6-1250102024-BRR#VSE,20241008,2
1002-6-1250102024-BRR#VSE,20241009,2
1002-6-1250102024-BRR#VSE,20241015,2
